"name";"answer";"questions";"rcounts"
"4. Техническая поддержка (support@pnu.edu.ru)";В скором времени все курсы будут добавлены;Здравствуйте, я студентка первого курса РСО(аб)оз-01. У меня на сайте эос в сводке по курсам высвечиваются только три дисциплины, хотя их больше. В деканате сказали обратиться к вам=====добрый день. у меня отображаются не все курсы в личном кабинете.   меня зовут Галкина Ксения, группа ЛПЕ ак-01.         IP-адресс: 85.26.241.125;2
"4. Техническая поддержка (support@pnu.edu.ru)";В скором времени курсы появятся в личном кабинете;Здравствуйте. В моём личном кабинете нет курсов. Подскажите, пожалуйста, как мне решить эту проблему? Спасибо.      IP-адресс: 37.29.88.193=====Здравствуйте. У меня возникли проблемы с доступом. У меня нет курсов по предметам. Подскажите, пожалуйста, как мне решить данную проблему? Спасибо.      IP-адресс: 37.29.88.193;2
"4. Техническая поддержка (support@pnu.edu.ru)";В скором времени ошибка отображения будет исправлена;"<https://www.avast.com/sig-email?utm_medium=email&utm_source=link&utm_campaign=sig-email&utm_content=webmail>  Без  вирусов. www.avast.ru  <https://www.avast.com/sig-email?utm_medium=email&utm_source=link&utm_campaign=sig-email&utm_content=webmail>  <#DAB4FAD8-2DD7-40BB-A1B8-4E2AA1F9FDF2>=====Здравствуйте.  У меня в личном кабинете сбились результаты данных по сессиям, показывает  информацию только за первый курс, хотя я уже на третьем. В тоже время в деканате сказали, что у них отображается моя ведомость до третьего курса.   С уважением Канасиро Диана       IP-адресс: 85.26.241.132=====Некорректно отображаются оценки за 3 и 4 семестр, отсутствуют оценки за 5 и 6 семестры. При этом в графе ""Оценки ";6
"4. Техническая поддержка (support@pnu.edu.ru)";в скором времени у вас появятся все курсы;Не подписан на курсы. Не имею возможности заниматься, во время дистанционного обучения      IP-адресс: 51.91.18.131=====Здравствуйте! В течение двух недель не могу решить проблему, которая возникла в личном кабинете.   У меня нет курсов ни по одному предмету.  Трошина Анастасия Максимовна, факультет: ФНДиДо, группа: ПОДЛ(аб)-01, тел.:89084636593  Проблему обнаружила 2 сентября в 8:30     --  Трошина Анастасия=====здравствуйте  у меня отображается только 1 курс      IP-адресс: 85.26.241.160;3
"4. Техническая поддержка (support@pnu.edu.ru)";В чем заключается ошибка? пришлите скриншот ошибки;В течение месяца не могу загрузить научные результаты студентов, полученные на конкурсах-выставках в соответствующий раздел. Они даже сюда не грузятся.      IP-адресс: 92.37.143.0=====Ошибка при отправлении резюме       IP-адресс: 80.83.234.203;2
"4. Техническая поддержка (support@pnu.edu.ru)";вам необходимо обратится в Деканат;Часть данных отображается с ошибкой, по причине неверно указанной группы (ПГСз-91). У меня группа ПГС(аб)зу-81. Неверные данные в истории приказов, в оценках за практику и др.       IP-адресс: 95.70.83.195=====Здравствуйте, меня зачислили в группу убп (аб) з а нужно было в убп (аб) зу собственно объяснили что ходить  на занятия с группой убп з и ждать перевода но вопрос в том как я потом буду сдавать зачёты в группе убп зу? Прошу Вас разобраться в данной проблеме. При поступлении прилагал документы об образовании и писал заявление.       IP-адресс: 80.83.234.122=====Здравствуйте подскажи;3
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо обратится в отдел кадров;Доброе утро!  С 1 февраля не могу зайти в личный кабинет.   Возможно это с тем, что у меня закончился трудовой договор 31 января 2021 г, но уже готовятся документы для заключения договора с 1 февраля 2021 г. по 31 июля 2021 г.  Если это мой недопуск именно с этим обстоятельством, то прошу предоставить мне допуск, так как я секретарь ГЭК 40.03.01 - 2 февраля 2021 проводится госэкзамен, мне необходимо иметь доступ к личному кабинету, чтобы размещать документы по ГЭК.      IP-адресс: 5.8.212.132=====Добрый день! В личном кабинете в списке сотрудников некорректно  отображается начало и оконча;2
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо повторно пройти процедуру регистрации(https://portal.khstu.ru/accounts/register/). Желательно не использовать пример хорошего пароля. А придумать аналогичный пароль для входа;Здравствуйте. Не могу зайти в свой личный кабинет на протяжении месяца. До этого целый год пользовалась, все было хорошо. Как можно решить эту проблему? Сайт постоянно пишет, что неправильный пароль.     Отправлено с моего телефона Huawei=====Доброго времени суток!  Я не имею доступ в электронный личный кабинет.  Обучаюсь на первом курсе магистратуры по направлению «08.04.01  Строительство», группа ВВ(ам) - 91 (2019)=====Не работает портальная почта ТОГУ      IP-адресс: 85.15.90.28=====Здравствуйте, не могу войти в свой корпоративный почтовый ящик. Нажимаю конверт (снимок 2) и получаю ;4
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо повторно пройти процедуру регистрации(https://portal.pnu.edu.ru/accounts/register/). Желательно не использовать пример хорошего пароля. А придумать аналогичный пароль для входа;"Здравствуйте, не могу войти на сайт  https://portal.pnu.edu.ru/accounts/login/?next=/    пишет неверный логин или пароль, сбрасываю пароль через электронную почту, меняю пароль но войти все ровно не могу      --  Ариф Якубов=====Здравствуйте  Прошу оказать техподдержку для входа на портал студенту ИЭУ К(аб) - 01  Чжэнь Синьвэй  Выводится окно с ошибкой (пересылаю сообщение)  С уважением, замдиректора ИЭУ Кулик И.В.    ---------- Forwarded message ---------  От: ♚ 少年与梦 <1913008599@qq.com>  Date: ср, 8 сент. 2021 г. в 22:27  Subject: 回复： Re:  To: 003187 <003187@pnu.edu.ru>              ------------------ 原始邮件 ------------------  *发件人:* ""003187"" <003187@pnu.edu.ru>;  *发送时间:* 2021年9";18
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо повторно пройти регистрацию  https://pnu.edu.ru/ru/applicant/cabinet/register/;--  Отправлено из Mail.ru для Android=====Здравствуйте. Не могу войти в личный кабинет абитуриента, перехожу по ссылке выдает вот такое. Пытаюсь запросить смену пароля выдает что учетной записи не найдено. И так все время.  --  Иван Еремеев=====Не могу зарегистрироваться (Номер телефона занят). Подавал заявление через  госуслуги. Каким образом войти в личный кабинет?;3
"4. Техническая поддержка (support@pnu.edu.ru)";вам необходимо пройти процедуру восстановления пароля  https://portal.khstu.ru/accounts/password_reset/  указать aleksandreremajt@gmail.com;Здравствуйте. Я студент тогу,  Смирнов Александр Иванович. Мне нужно  сбросить пороль от личного кабинета, пароль потерял, что делать?=====Извините, вы так и не ответили. Я не знаю не логин не пароль от своего  личного кабинета. Я даже не разу в него не заходил.  Я Смирнов Александр Иванович,  группа А(аб) 93.;2
"4. Техническая поддержка (support@pnu.edu.ru)";вам необходимо сменить пароль от личного кабинета  https://portal.pnu.edu.ru/accounts/password_change/;"личный кабинет не дает выход на корп.почту .P.S пишет ""Сервер не найден""      IP-адрес: 10.10.100.114=====Здравствуйте! А как активировать почту?Не могу понять. Хотя письмо о регистрации личного кабинета получила и регистрацию прошла. Заранее спасибо за ответ!    2022101856@pnu.edu.ru        С уважением,  Скоржевская Мария Николаевна  ___________________________________    моб. 8-909-841-34-63=====Здравствуйте! Не возможно зайти в почту. ауд.113-л,время 8-24 час,=====доброго времени суток! при заходе на почту через портал столкнулась с проблемой, при которой почта не открывается. портал выкидывает на страницу гугла с ";69
"4. Техническая поддержка (support@pnu.edu.ru)";вам необходимо сменить пароль от личного кабинета;Неправильный адрес электронной почты  Нам не удалось обработать ваш запрос в данный момент. Повторите попытку позже.    Почта 2020100808@pnu.edu,ru        IP-адресс: 213.221.12.111=====Кретов Алексей Владимирович  ТОГУ ИСИ  ПГС(аб)-01  +7(914)196-89-40    Проблема появилась примерно 3 сентября, во второй половине дня.    Чт, 8 окт. 2020 г. в 13:40, <support@pnu.edu.ru>:    > Здравствуйте! Не забудьте прочесть письмо до конца!  >  > Настоящим мы подтверждаем, что получили Ваше сообщение.  > Мы обработаем Ваш запрос и свяжемся с Вами при первой возможности.  > Вашему запросу был присвоен номер 48414.  >  > *!!!ВНИМАНИЕ!!!*  > Дл;26
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо удалить кэш браузера. Для этого нажмите   shift + Ctrl+ Delete  перейдите во вкладку дополнительные, выставите все галочки и нажмите удалить. Выставить Временной диапазон - за все время  ;Дремлюга Анастасия Алексеевна, группы СУЗ(с) -91, телефон 89146153818 Не работает сайт эос примерное с 15.00 29.12.2020    Отправлено с моего телефона Huawei            -------- Исходное сообщение --------  От: support@pnu.edu.ru  Дата: вт, 29 дек. 2020 г., 19:10  Кому: 2018101720@pnu.edu.ru  Тема: Группа технической поддержки [Обращение (Внеплановое) № 51859] - Прочтите!                  Здравствуйте! Не забудьте прочесть письмо до конца!        Настоящим мы подтверждаем, что получили Ваше сообщение.    Мы обработаем Ваш запрос и свяжемся с Вами при первой возможности.    Вашему запросу был присвоен номер 51859.        !!!ВНИМАНИЕ!!!    Для ;9
"4. Техническая поддержка (support@pnu.edu.ru)";Вам нужно поменять значения поправок при печати в настройках пользователя (см. скриншоты);Здравствуйте!  Сдвинулся текст  на всех страницах в приложении к диплому. не можем это  исправить и из-за этого портим бланки.  Скан прилагаю=====Здравствуйте коллеги.    Прошу техподдержки в следующем вопросе.  После недавнего (неделю назад) изменения шаблона приложения к диплому, его  текстовые поля как-бы подтянули вверх. В результате происходит наползание  строк на текст на самом бланке и наползание строк на границы таблицы на 2-4  стр.  Наши последние приложения не были приняты на подпись проректором.    Прошу рассмотреть прилагающийся скан приложения (не п;2
"4. Техническая поддержка (support@pnu.edu.ru)";Вам отправлено письмо с дальнейшими инструкциями по смене пароля для учетной записи в личном кабинете абитуриента ТОГУ.;Добрый день!    В течение месяца я не могу получить данные для входа в личный кабинет  абитуриента.    Прошу повторно отправить данные на почту openheart21@inbox.ru    С уважением,  Журавлева Е. В.    пн, 22 июн. 2020 г. в 10:50, <support@pnu.edu.ru>:    > Здравствуйте! Не забудьте прочесть письмо до конца!  >  > Настоящим мы подтверждаем, что получили Ваше сообщение.  > Мы обработаем Ваш запрос и свяжемся с Вами при первой возможности.  > Вашему запросу был присвоен номер 44877.  >  > *!!!ВНИМАНИЕ!!!*  > Для того чтобы специалисты как можно яснее восприняли ваш запрос и решили  > проблему, необходимо соблюс;6
"4. Техническая поддержка (support@pnu.edu.ru)";Вам следует подойти в кабинет 119цв со своей картой;Кампусная карта не работает на открывание турникета. Студентка ФИРиД гр.  ДПИ(пб)-91 Пан Елизавета.=====Здравствуйте,    В апреле восстановила пропуск (карта ВТБ) по причине утери, сейчас в качестве пропуска не работает. Просьба подсказать дальнейшие действия по его активации       IP-адресс: 10.10.100.144;2
"4. Техническая поддержка (support@pnu.edu.ru)";Вам следует подойти со своей картой в кабинет 119цв ТОГУ.;Добрый день. Не работает карта на проход на турникетах ни у нас в Пед.институте, ни в ТОГУ. Сказали, что не внесли в базу. Помогите решить проблему,пожалуйста. Заранее огромное спасибо!      IP-адресс: 10.0.42.46=====Не работает карточка-пропуск ГПБ в ПИТОГУ Счастливой Галины Васильевны.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Ваша кампусная карта появится в пропускной системе только после того как банк пришлёт на неё обратный реестр. Обычно его присылают в течение месяца, ожидайте.;"Только что написал обращение по кампусным картам, отобразилось на экране:  ""Вы получите ответ на почтовый ящик 2023105780@pnu.edu.ru""  Как получить доступ к этой почте? Во вкладке ""Почта"" в личном кабинете присутствует только ""Google""!  Прошу продублировать ответ на chev_@mail.ru или по тел. 89143786876, т.к. доступа к 2023105780@pnu.edu.ru я не имею.      IP-адрес: 95.70.60.155=====В разделе ""Кампусные карты"" отсутствует информация о их наличии. Мне выдали кампусную карту 06.10.2023.   1) Нет информации о ней в личном кабинете.  2) Как пропуск в универ она не работает.      IP-адрес: 95.70.60.155";2
"4. Техническая поддержка (support@pnu.edu.ru)";Все Ваши кампусные карты активны в пропускной системе. Если у Вашей карты не работает антенна, обратитесь в студенческий офис(245л) для оформления новой карты. Также возможны перебои в работе турникетных считывателей, попробуйте пройти на других турникетах. По вопросу стипендии обратитесь в бухгалтерию.;Вышел с академа, не могу поойти через турникет по карте, не знаю работает  ли она, будет ли на нее приходить стипендия? Что делать?  Неделю назад уже писал, ответа не дождался=====Вышел с академа, не могу поойти через турникет по карте, не знаю работает  ли она, будет ли на нее приходить стипендия? Что делать?;2
"4. Техническая поддержка (support@pnu.edu.ru)";Вышлите скриншот того момента как вы вводите данные, и скриншот ошибки которая вам выводится.;Здравствуйте ,я не могу закончить регистрацию личного кабинета.  пришла ссылка на подтверждение на электронную почту ,перешла,после ввода пароля выдаёт ошибку.  Войти,сбросить пароль,подтвердить учетную запись - не могу.  Что мне делать?  Отправлено с iPhone=====Здравствуйте! Не могу войти в личный кабинет. Пишет неверный логин и пароль.      Отправлено из мобильной Почты Mail.ru=====Работал из дома Горшенин Сергей Олегович, 13.01.1994 , СНИЛС 154-972-245 92  телефон 9990837183=====ФИО: Хабибулина Мария Эдуардовна  Студент ПОМО(ам)91      >Суббота, 29 августа 2020, 3:40 +03:00 от support@pnu.edu.ru:  >   >   >Здр;12
"4. Техническая поддержка (support@pnu.edu.ru)";Готово, пожалуйста проверьте!;Здравствуйте, не могу зайти на сайт, пишет страница недоступна        --  Александра Павленко=====Добрый день!  Прошу открыть доступ к базе Абитуриент (Личные дела) БЕЗ ПРАВА  редактирования личных дел, только для просмотра, следующим работникам  Студгородка:  1. Дидух Иосиф Степанович - Директор Студгородка  2. Чирка Ирина Анатольевна -делопроизводитель дирекции Студгородка  3. Федотова Анастасия Олеговна - делопроизводитель дирекции Студгородка.      --     *С уважением, Алевтина Викторовна Зозолева,*  *начальник УФКС ТОГУ*  *+7(4212)74-39-88*=====Здравствуйте,  направляю техн;17
"4. Техническая поддержка (support@pnu.edu.ru)";Для восстановления пароля, вам нужно получить код  для первого входа или воспользоваться почтой(https://portal.pnu.edu.ru/accounts/password_reset/), которую вы указывали при регистрации в личном кабинете.  Код для первого входа вы можете получить в деканате.;   Не входит в личный кабинет. Пишет неверный логин и пароль. Заходить пробовала с разных браузеров.  --  Александра Попова  Отправлено из Почты  Mail.ru=====Доброе утро, я студентка заочного отделения 1 курса. Мне прислали код для активации личного кабинета, регистрацию прошла , сайт работал . Но теперь не могу зайти в личный кабинет, пишет , что неправильный пароль или логин. Хотя я себе его отдельно записала. Подскажите , как восстановить доступ?  Отправлено с iPhone=====Добрый день не могу зайти в личный кабинет, воспользовалась сменой пароля и все равно не получается,;51
"4. Техническая поддержка (support@pnu.edu.ru)";Для восстановления пароля, вам нужно получить код  для первого входа или воспользоваться почтой, которую вы указывали при регистрации в личном кабинете.;"[image: 2021-10-18_13-15-46.png]    пн, 18 окт. 2021 г. в 13:15, <support@pnu.edu.ru>:    > Здравствуйте! Не забудьте прочесть письмо до конца!  >  > Настоящим мы подтверждаем, что получили Ваше сообщение.  > Мы обработаем Ваш запрос и свяжемся с Вами при первой возможности.  > Вашему запросу был присвоен номер 60481.  >  > *!!!ВНИМАНИЕ!!!*  > Для того чтобы специалисты как можно яснее восприняли ваш запрос и решили  > проблему, необходимо соблюсти несколько *важных правил*:  > 1 - Приложите ""скриншот экрана с проблемой"" в ответе на это письмо, если  > этого еще не сделали при отправке первого письма на support@pnu.edu.r";2
"4. Техническая поддержка (support@pnu.edu.ru)";Для восстановления пароля, вам нужно получить код  для первого входа или воспользоваться почтой, которую вы указывали при регистрации в личном кабинете.  Код для первого входа вы можете получить в деканате.;Добрый день! Меня зовут Ефимова Ирина Константиновна, являюсь студенткой заочного факультета группы ГрП (аб) зу-81. У меня не получается зайти в свой личный кабинет в  https://portal.khstu.ru . Ни логина, ни пароля я не помню. Ранее обращалась с этой проблемой, сказали, что мне достаточно ввести номер зачетной книжки в строки логина и пароля, но и после этого зайти в личный кабинет не получается. Что мне делать?      --  Ирина Ефимова=====Добрый день, не могу зайти в свой личный кабинет,чтобы посмотреть какие рефераты необходимо сделать на сессии.являюсь магистрантом трансп;53
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  ;"у меня отображается только один учебный курс   Галкина Ксения Евгеньевна, ЛПЕ-ак 01, 2020103898, 89245020915   --  Отправлено из Mail.ru для Android суббота, 17 октября 2020г., 10:45 +10:00 от  support@pnu.edu.ru :    >Здравствуйте! Не забудьте прочесть письмо до конца!  >Настоящим мы подтверждаем, что получили Ваше сообщение.  >Мы обработаем Ваш запрос и свяжемся с Вами при первой возможности.  >Вашему запросу был присвоен номер 48710.  >!!!ВНИМАНИЕ!!!  >Для того чтобы специалисты как можно яснее восприняли ваш запрос и решили проблему, необходимо соблюсти несколько  важных правил :  >1 - Приложите ""скриншот ";4
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Или http://eos.pnu.edu.ru/login/forgot_password.php;Здравствуйте, не могу зайти на портал для сдачи экзаменов      IP-адресс: 176.59.142.131=====Здравствуйте, не могу зайти на портал для сдачи экзаменов      IP-адресс: 176.59.142.131;2
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем  ;   Прошу Вас прислать мне на электронный адрес справку вызов на    установочную сессию 1 семестра с 05.11.2020 по 07.11.2020 для предоставления на работу.  Могильченко Руслан Богданович  Направление академического бакалавриата « Землеустройство и кадастры », форма обучения:   заочная .  Профили/специализации:   Землеустройство .     Прошу Вас выслать логин и пароль  для авторизации  в системе электронного обучения ЭИОС университета ( http://eos.pnu.edu.ru   .  Могильченко Руслан Богданович  Направление академического бакалавриата « Землеустройство и кадастры », форма обуч;27
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем  Или http://eos.pnu.edu.ru/login/forgot_password.php    Для входа eos.pnu.edu.ru используются учетные данные личного кабинета абитуриента  если вы не можете зайти на eos.pnu.edu.ru смените пароль http://pnu.edu.ru/ru/applicant/cabinet/reconfirm/  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем ;здраствуйте не могу зайти в ЭОС,показывает что не верный пароль или логин,хотя в личный кабинет поступающего вхожу по нему        С уважением,  Константин ТИШКОВ  kostyatish@mail.ru=====Добрый день! Почему не могу зайти в ЭОС?  --  Отправлено из Mail.ru для Android=====--  Отправлено из Mail.Ru для Android;3
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем  Или http://eos.pnu.edu.ru/login/forgot_password.php;   Здравствуйте, это студентка группы РСО-ОЗ71. Я не могу зайти в личный кабинет, можно узнать свой логин  --  Екатерина Мельникова=====доступ к ЭОС невозможен  --   Вячеслав Усачёв=====Здравствуйте.Я студентка заочного отделения.Специальность Русский язык и литература.Мировая художественная культура.1 курс.Подскажите, пожалуйста,как мне получить учебные материалы?Я зашла в личный кабинет студента,но на платформу ЭОС попасть не могу,т.к. не знаю логин и пароль,а у меня два варианта,либо просто войти,либо зайти гостем.  Заранее спасибо за ответ  С уважением,  Мария ;43
